SL_NO,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
1,401.0,0.022443890274314215,34,0,10,26,457.466796875,84.79611310588628,10,8,0
2,216.0,0.0,32,2,28,25,522.591796875,95.42806100901831,17,11,0
3,251.0,0.0,41,0,81,29,94.0556640625,82.46965622501635,20,10,7
4,222.0,0.07207207207207207,53,0,18,49,1435.66796875,91.35596725174203,41,16,1
5,14.0,0.8571428571428571,0,0,2,0,215.931640625,99.29764736742133,1,7,0
6,412.0,0.04854368932038835,85,4,20,39,1730.40234375,96.89372955621322,26,11,6
7,128.0,0.1484375,25,6,3,25,41.6982421875,43.14386753788145,19,10,0
8,239.0,0.06276150627615062,25,0,21,48,402.685546875,86.46416878865041,73,9,1
9,661.0,0.0,81,5,111,79,276.96875,82.40825623378089,29,4,1
10,259.0,0.0,14,0,26,4,49.9873046875,91.71860042588939,7,7,0
11,41.0,0.0,5,0,71,13,110.3818359375,97.44848758305244,29,4,2
12,0.0,0.0,32,0,6,56,1041.97265625,94.20663929970571,17,10,0
13,802.0,0.09102244389027432,127,0,35,101,155.619140625,76.13238450242855,1,4,1
14,193.0,0.0,29,0,1,42,602.1904296875,91.14122758224775,72,13,2
15,212.0,0.2028301886792453,95,5,9,32,1003.240234375,97.68552677943927,14,10,10
16,408.0,0.07598039215686274,79,1,22,78,1710.41796875,96.57390257772337,36,11,0
17,24.0,1.0,1,0,0,0,1.3603515625,0.0,1,3,0
18,337.0,0.0,67,0,60,28,408.8984375,99.59160473069795,18,6,8
19,182.0,0.0,176,1,114,12,769.0830078125,93.85657381647432,27,12,16
20,288.0,0.0,115,0,13,46,314.296875,92.70600298284862,11,10,7
21,180.0,0.0,21,0,0,17,99.365234375,78.68009828009828,11,9,1
22,184.0,0.21739130434782608,279,0,40,30,1253.2783203125,96.83961672395132,46,5,25
23,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
24,9.0,0.0,9,0,0,0,427.0400390625,43.06900013492221,1,1,5
25,148.0,0.033783783783783786,20,0,14,42,158.6826171875,93.91043196238562,2,12,2
26,168.0,0.047619047619047616,16,0,6,24,13.849609375,58.926808630658584,1,3,0
27,82.0,0.0,10,0,17,31,241.4501953125,93.37903698760339,7,16,0
28,224.0,0.05803571428571429,36,0,35,21,75.529296875,70.15334488376303,29,9,16
29,162.0,0.006172839506172839,40,0,32,41,354.7880859375,95.74129583295486,27,12,5
30,313.0,0.009584664536741214,45,0,76,26,1153.3515625,98.40393825061471,6,6,3
31,0.0,0.0,56,0,28,30,1372.662109375,93.68677993690977,38,12,1
32,498.0,0.03413654618473896,52,1,18,43,16911.8681640625,97.22536751736787,44,16,70
33,206.0,0.10194174757281553,27,2,7,34,807.263671875,96.40326237119513,13,10,0
34,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
35,217.0,0.009216589861751152,49,0,111,42,230.560546875,92.39963743254805,34,8,1
36,175.0,0.05714285714285714,25,1,12,37,1137.1376953125,95.56168731627261,18,5,1
37,791.0,0.051833122629582805,91,1,31,99,245.9716796875,70.40794044665013,29,16,0
38,395.0,0.05822784810126582,59,2,7,38,3165.126953125,98.52299689302056,22,8,1
39,127.0,0.1732283464566929,10,0,31,29,514.884765625,95.92938347096779,8,5,1
40,131.0,0.0,90,0,25,1,434.125,93.9466059602649,9,12,7
41,658.0,0.0,203,2,7,116,33223.8310546875,99.92164298246597,115,13,9
42,476.0,0.06722689075630252,47,0,3,57,3619.6982421875,96.59296962070873,34,13,0
43,1356.0,0.01991150442477876,181,0,36,140,8408.76171875,98.96461001661679,14,15,0
44,254.0,0.0,250,2,4,43,1012.61328125,77.45863695805639,42,19,20
45,226.0,0.0,10,1,27,27,246.7275390625,92.84778487150157,6,21,0
46,190.0,0.09473684210526316,38,1,9,21,4300.033203125,94.48046594843699,27,6,73
47,304.0,0.04276315789473684,36,1,2,55,12022.599609375,99.33957385919194,40,11,0
48,427.0,0.0,252,6,86,60,805.771484375,97.64552605107198,70,14,24
49,574.0,0.06620209059233449,86,2,75,98,1483.25390625,98.7167939996787,109,13,3
50,133.0,0.2781954887218045,30,1,12,27,1236.4833984375,94.5596090222476,89,18,0
51,674.0,0.0,98,1,1,62,414.787109375,98.11932891025612,17,10,2
52,295.0,0.05084745762711865,87,1,49,60,1512.6640625,91.98698746520263,25,10,1
53,441.0,0.009070294784580499,63,3,112,65,1614.6123046875,95.02601667026539,70,11,1
54,454.0,0.1145374449339207,53,0,6,72,2107.7783203125,97.80898967505496,50,10,0
55,453.0,0.11037527593818984,215,0,19,61,2187.3095703125,78.93879154658553,16,11,35
56,0.0,0.0,40,0,2,57,146.392578125,92.84484943898177,7,7,0
57,367.0,0.0,33,1,373,26,1682.2548828125,95.92117629506991,21,16,2
58,378.0,0.0,44,2,89,52,1206.81640625,93.76620434057843,56,12,4
59,44.0,3.0454545454545454,16,1,60,13,1358.0419921875,66.9633656566964,35,14,109
60,109.0,0.06422018348623854,26,0,10,35,4056.6630859375,99.23132346643241,20,15,0
61,70.0,0.6,13,0,44,3,5060.8544921875,20.60054242167834,66,17,4
62,138.0,0.014492753623188406,84,1,192,31,771.833984375,96.53030651932416,20,13,11
63,58.0,0.06896551724137931,6,1,5,26,17.7783203125,2.125789618236748,26,3,1
64,218.0,0.03669724770642202,49,2,7,6,37.3828125,59.37826541274817,7,3,8
65,571.0,0.0,21,0,141,44,565.6689453125,91.49375480150886,20,13,0
66,0.0,0.0,5,0,11,22,548.8115234375,85.66931739928076,19,11,0
67,269.0,0.0,36,1,19,20,336.6845703125,94.94032166838281,3,20,0
68,18.0,0.0,20,0,4,0,0.7314453125,0.0,0,4,1
69,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
70,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
71,234.0,0.04700854700854701,77,0,31,32,90.958984375,88.8321058169247,8,8,8
72,215.0,0.018604651162790697,62,0,31,28,93.1494140625,89.14399538711537,7,10,7
73,278.0,0.3597122302158273,47,0,162,81,427.9189453125,89.92489542183853,55,7,24
74,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
75,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
76,140.0,0.03571428571428571,12,0,1,49,338.7412109375,78.42021962055058,3,10,3
77,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
78,90.0,0.0,7,0,14,25,1068.115234375,98.65170285714285,5,18,0
79,120.0,0.0,23,0,38,32,13216.857421875,99.87339351629984,10,16,0
80,196.0,0.08673469387755102,119,1,99,26,358.6533203125,93.05970413411715,11,8,24
81,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
82,233.0,0.017167381974248927,21,0,34,30,3015.78125,98.47637428112533,16,10,1
83,865.0,0.035838150289017344,85,0,61,45,1282.0244140625,96.41222949848148,31,9,8
84,146.0,0.0,8,0,58,33,126.3369140625,83.7410817120021,32,10,3
85,296.0,0.0,28,3,69,27,538.8583984375,92.21915544109999,13,9,1
86,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
87,676.0,0.34023668639053256,112,4,29,39,4657.5537109375,69.12102001641739,232,17,15
88,18.0,0.0,0,0,0,1,1.2509765625,0.0,1,2,0
89,9.0,0.2222222222222222,0,1,0,3,102.5546875,94.58844366572713,2,3,0
90,714.0,0.00980392156862745,61,1,165,115,671.9326171875,85.85382939544428,64,15,2
91,671.0,0.0,594,1,241,6,4.8994140625,0.0,1,5,3
92,487.0,0.11909650924024641,76,0,9,74,1928.9091796875,86.43476138908254,22,11,42
93,418.0,0.06937799043062201,89,2,38,51,964.853515625,86.29679861539863,13,17,12
94,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
95,422.0,0.0971563981042654,201,2,1,7,1121.92578125,42.16739841163179,10,6,23
96,22.0,1.0,22,0,0,0,15.326171875,0.0,0,6,0
97,0.0,0.0,0,0,0,0,181.720703125,99.52332842510292,2,9,0
98,725.0,0.16689655172413792,170,2,41,39,2520.5732421875,83.88647020786365,51,15,10
99,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
100,81.0,0.5061728395061729,11,0,19,9,2101.7509765625,84.96477778712224,14,18,2
101,186.0,0.021505376344086023,16,1,33,32,482.447265625,98.51687967839749,6,3,3
102,94.0,0.0,16,1,302,36,175.6357421875,70.90313648520164,103,8,2
103,556.0,0.019784172661870502,847,0,18,20,148.4912109375,90.9092104830489,9,7,19
104,309.0,0.0,37,0,36,23,135.5224609375,91.00126103404791,7,8,2
105,144.0,0.0,112,0,38,16,501.212890625,75.30580116202493,19,12,22
106,499.0,0.002004008016032064,60,0,4,17,393.43359375,88.23111825971266,17,10,0
107,30.0,0.0,1,0,31,2,509.138671875,98.89941268763498,27,12,1
108,133.0,0.21804511278195488,9,0,6,45,614.8251953125,95.12771192269145,9,10,1
109,1.0,0.0,1,0,9,0,329.1240234375,99.15168994400976,9,17,0
110,0.0,0.0,0,0,0,0,0.140625,0.0,0,1,0
111,566.0,0.026501766784452298,106,2,12,51,1842.001953125,49.887976418320335,56,12,0
112,270.0,0.0962962962962963,47,1,8,56,62.587890625,56.019659853331255,8,11,2
113,35.0,0.0,33,1,7,4,74.5458984375,49.95873452544704,2,4,2
114,251.0,0.00796812749003984,38,0,24,40,678.43359375,97.84775361442661,18,18,1
115,562.0,0.03914590747330961,149,1,57,31,2088.341796875,97.8338170142841,10,10,1
116,1061.0,0.0,21,0,60,38,222.0107421875,86.41324189866235,34,4,2
117,579.0,0.05008635578583765,311,1,122,65,1038.9169921875,89.70795722333297,67,8,43
118,237.0,0.0,82,1,15,34,2062.35546875,54.43804774198192,10,15,1
119,908.0,0.0,184,0,149,68,480.83984375,88.3311669848491,64,6,4
120,109.0,0.0,10,0,48,7,177.4990234375,94.09602825719772,23,6,1
121,377.0,0.0610079575596817,149,2,2,21,907.9267578125,78.33738653805405,5,5,23
122,39.0,0.0,4,0,22,8,182.3056640625,89.10922911276455,6,3,0
123,465.0,0.008602150537634409,51,0,37,44,207.12109375,97.04090677630462,13,14,1
124,1840.0,0.06032608695652174,410,1,58,102,523.517578125,73.38858607451846,28,14,2
125,258.0,0.015503875968992248,42,1,15,32,823.2373046875,40.331081441764184,2,8,0
126,626.0,0.13738019169329074,204,0,4,72,2824.9365234375,90.43704314429078,35,14,17
127,621.0,0.06602254428341385,126,1,23,91,260.296875,74.30780659103188,27,8,0
128,190.0,0.0,64,3,75,72,3012.4541015625,99.02857700438253,14,11,27
129,79.0,0.0,17,0,316,35,577.7265625,97.98695722727825,66,9,5
130,213.0,0.3145539906103286,291,9,32,40,6834.1171875,15.85256416851573,27,9,2
131,913.0,0.0,180,9,17,68,2351.2099609375,68.38392300506845,120,8,5
132,370.0,0.05945945945945946,91,0,10,58,1184.6640625,62.821326589157,18,12,7
133,24.0,1.0,1,0,0,0,1.3603515625,0.0,1,3,0
134,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
135,229.0,0.0,68,2,82,2,142.873046875,91.25780918921136,3,7,12
136,388.0,0.04381443298969072,99,0,36,21,832.9765625,97.33553896511944,15,13,5
137,257.0,0.22568093385214008,50,0,17,35,2845.140625,55.37271608938486,51,15,11
138,134.0,0.3208955223880597,120,0,17,52,10502.2724609375,96.2800740576328,24,10,0
139,213.0,0.0,66,1,187,53,131.4033203125,74.0912773025558,65,7,0
140,547.0,0.04021937842778794,46,1,91,46,810.5703125,90.73207521710215,25,10,0
141,271.0,0.014760147601476014,132,0,144,26,220.9912109375,79.7874455909322,45,11,17
142,961.0,0.027055150884495317,37,0,91,64,988.3935546875,86.26697559071845,17,11,0
143,556.0,0.06474820143884892,77,0,85,55,1190.857421875,82.10765942999973,26,16,6
144,953.0,0.0,78,0,278,17,948.837890625,94.16453103611532,72,10,3
145,71.0,0.0,61,0,41,24,957.552734375,96.60225958508323,28,9,4
146,98.0,0.0,48,1,9,25,252.2421875,83.53478180072474,3,13,4
147,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
148,284.0,0.21830985915492956,39,1,5,30,797.0810546875,61.33034227669071,17,9,6
149,142.0,0.0,14,0,146,30,86.771484375,74.90827649852567,38,8,0
150,18.0,0.0,20,0,4,0,0.7314453125,0.0,0,4,1
151,157.0,0.8662420382165605,19,0,53,18,188.2998046875,93.64637302340537,40,10,3
152,480.0,0.08333333333333333,200,0,21,71,3070.873046875,91.34149808527323,24,13,23
153,166.0,0.4578313253012048,10,0,14,33,576.697265625,96.38871672949074,6,11,1
154,579.0,0.05008635578583765,311,1,122,65,677.1826171875,89.23230007138376,67,10,43
155,223.0,0.013452914798206279,157,0,89,30,105.822265625,81.82850076595116,48,11,40
156,297.0,0.0,107,0,163,24,327.150390625,91.16094829284602,102,6,19
157,574.0,0.03832752613240418,61,0,9,23,1410.17578125,97.36748798493096,22,10,0
158,249.0,0.0,35,3,96,27,2268.9453125,97.88258586554188,20,10,2
159,161.0,0.0,5,0,120,23,189.4365234375,88.53404679791528,50,5,1
160,108.0,0.0,45,1,130,31,1298.021484375,97.5888032718064,49,6,26
161,568.0,0.007042253521126761,145,2,24,68,863.9130859375,96.68330983997006,6,15,7
162,225.0,0.0,40,3,17,20,76409.2431640625,99.96924583667575,25,14,0
163,369.0,0.14092140921409213,100,0,61,68,30.1533203125,17.793179389189365,6,6,9
164,288.0,0.0,424,4,33,58,1033.5732421875,95.30744657632096,5,5,25
165,162.0,0.0,16,1,173,11,446.3525390625,86.31835734523536,16,15,1
166,18.0,0.0,20,0,4,0,0.73828125,0.0,0,4,1
167,3426.0,0.0070052539404553416,231,2,93,144,994.7265625,70.00088356567838,125,19,0
168,225.0,0.13333333333333333,22,0,17,19,1173.25,89.14407095674409,14,13,2
169,422.0,0.037914691943127965,23,0,7,26,149.5078125,82.06027590531431,3,10,1
170,0.0,0.0,78,0,59,29,149.9453125,77.15052362840619,19,10,17
171,42.0,0.0,6,0,0,12,8.6240234375,16.34016532669007,1,3,0
172,56.0,0.375,9,1,10,3,81.8974609375,94.44570311102632,1,7,1
173,633.0,0.07109004739336493,23,0,23,17,220.5166015625,86.02358630524027,19,8,0
174,390.0,0.05128205128205128,59,0,3,56,2742.6806640625,95.90355010939984,32,12,0
175,44.0,0.25,31,0,0,13,341.501953125,98.80897231325315,2,8,0
176,640.0,0.5140625,96,0,97,4,668.984375,97.74056989372883,32,6,12
177,213.0,0.07042253521126761,95,1,26,43,1083.6953125,94.00497790401765,22,11,0
178,252.0,0.05952380952380952,160,20,64,53,837.123046875,90.47950686759665,12,12,36
179,24.0,91.91666666666667,23,2,198,0,5624.2060546875,89.64624694423014,94,18,1
180,81.0,0.5802469135802469,5,1,84,36,1469.6923828125,98.79080244391065,15,25,1
181,77.0,0.2077922077922078,27,0,58,3,73.8056640625,83.94220463897747,20,4,3
182,749.0,0.028037383177570093,118,1,6,59,4894.6416015625,99.36170633024435,29,7,0
183,304.0,0.05921052631578947,73,1,11,61,3480.560546875,99.70205611860966,20,12,4
184,181.0,0.0,25,3,35,32,1184.078125,96.12922434383289,17,13,4
185,336.0,0.1636904761904762,44,0,2,52,2726.0185546875,96.41214239373686,29,10,0
186,186.0,0.0,49,0,21,23,5831.2958984375,99.59276512929377,13,12,4
187,11.0,0.0,1,0,54,1,143.5615234375,90.65146557646915,47,5,1
188,632.0,0.03481012658227848,108,1,10,32,3419.9638671875,99.67735975828965,23,19,55
189,370.0,0.005405405405405406,34,0,122,46,488.177734375,88.19769791195733,39,4,7
190,1022.0,0.0019569471624266144,124,0,348,110,788.3818359375,84.7705260602277,117,8,2
191,770.0,0.03636363636363636,108,2,23,48,3205.4755859375,98.93681679328614,34,11,1
192,455.0,0.07032967032967033,49,2,11,37,3362.390625,71.71457714702616,31,9,21
193,0.0,0.0,0,0,0,0,115.1513671875,99.05525166433448,4,10,0
194,567.0,0.07936507936507936,272,0,62,115,1208.8798828125,87.90840565380044,61,11,50
195,698.0,0.03724928366762178,158,6,15,46,4072.150390625,99.79073748369858,14,9,0
196,536.0,0.03171641791044776,266,1,31,27,584.591796875,94.81024753517245,24,12,16
197,340.0,0.0,41,3,1,25,1712.6611328125,95.84699204283356,22,11,0
198,610.0,0.0,197,0,190,39,100.7783203125,78.62244057482292,9,8,1
199,280.0,0.0,53,4,77,85,5437.447265625,99.44746231375089,29,16,1
200,328.0,0.07621951219512195,87,0,63,67,580.251953125,96.33830266351161,49,10,20
201,283.0,0.0,48,0,5,30,116.8125,92.25354467629748,4,7,0
202,18.0,0.0,20,0,4,0,0.73828125,0.0,0,4,1
203,274.0,0.04744525547445255,21,3,55,40,308.208984375,87.09371811689257,17,6,2
204,69.0,0.0,84,0,43,15,224.0693359375,93.25160058749951,8,6,10
205,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
206,126.0,0.49206349206349204,107,0,52,28,42.5498046875,62.87897913749971,1,9,30
207,36.0,0.9166666666666666,0,0,6,0,465.4326171875,85.72648514591809,12,9,0
208,207.0,0.48792270531400966,46,0,8,47,7858.28125,97.51020271210706,53,14,21
209,241.0,0.008298755186721992,90,0,47,47,10034.6220703125,99.63880911138419,65,10,0
210,535.0,0.6448598130841121,53,0,5,44,2100.5107421875,87.12720074126317,30,12,0
211,288.0,0.07291666666666667,52,0,20,46,1386.494140625,89.3030561288096,44,12,0
212,441.0,0.06349206349206349,392,8,39,13,32724.296875,92.7859979564114,134,8,3
213,657.0,0.0,142,0,3,38,3520.583984375,91.88048081067872,45,7,2
214,166.0,0.012048192771084338,11,0,0,49,306.94921875,83.43259649524683,7,8,0
215,252.0,0.0,31,0,22,76,13792.06640625,99.83654410696367,27,5,8
216,150.0,0.22,73,2,14,25,1680.296875,98.91016282464966,8,13,5
217,81.0,0.0,2,0,39,7,98.6630859375,91.05522067484237,2,8,3
218,223.0,0.02242152466367713,19,2,0,61,285.994140625,77.7622602080189,21,6,1
219,226.0,0.022123893805309734,8,1,0,58,296.2158203125,70.75513063545702,19,6,1
220,218.0,0.01834862385321101,63,0,6,49,1004.390625,89.76874970831194,18,13,1
221,131.0,0.04580152671755725,23,1,65,20,206.7177734375,90.95753475781726,11,9,0
222,645.0,0.12713178294573643,227,2,56,82,14554.3935546875,98.92915174950863,56,21,10
223,550.0,0.2727272727272727,62,1,15,50,5285.908203125,70.68260798075661,30,11,18
224,59.0,0.9830508474576272,14,2,10,6,4747.25390625,84.0723502156263,19,14,22
225,699.0,0.010014306151645207,12,0,15,27,295.0732421875,97.19978156906224,3,9,0
226,218.0,0.22477064220183487,12,0,6,41,8147.28515625,97.63834051315982,9,16,37
227,225.0,0.1288888888888889,69,0,16,39,11242.7099609375,95.67392411836316,132,18,3
228,137.0,6.087591240875913,14,0,12,49,141.923828125,86.76873322782633,10,12,8
229,445.0,0.05393258426966292,90,1,26,66,252.439453125,79.15883295035165,24,10,0
230,128.0,0.109375,102,0,36,26,70.9501953125,88.61712523915048,12,5,14
231,18.0,0.0,20,0,4,0,0.73828125,0.0,0,4,1
232,241.0,0.07468879668049792,48,0,5,39,3849.6982421875,94.97165336873248,21,23,6
233,171.0,0.0,131,0,42,9,254.0302734375,97.80722493243685,7,11,8
234,146.0,0.0273972602739726,26,0,15,27,306.53125,92.7270236517484,11,6,0
235,566.0,0.0035335689045936395,116,0,65,28,1520.5888671875,97.27124372946079,26,15,6
236,296.0,0.006756756756756757,37,1,11,42,1052.509765625,94.98501535578092,24,15,0
237,776.0,0.1713917525773196,650,2,368,188,846.47265625,91.38797491428123,29,5,19
238,370.0,0.005405405405405406,89,0,125,39,375.7880859375,86.67124038803868,25,6,15
239,228.0,0.0,51,0,28,16,395.8359375,96.48094420431444,18,13,5
240,221.0,0.17647058823529413,51,1,58,36,2892.111328125,98.70482137225386,10,8,12
241,159.0,0.0,6,0,129,29,1414.15625,96.2157895609131,8,11,1
242,248.0,0.05241935483870968,17,3,15,61,4480.1884765625,98.49471839236674,27,12,0
243,503.0,0.0,92,3,66,66,2392.9140625,96.56203373893625,30,11,8
244,134.0,0.6119402985074627,131,0,49,18,330.8896484375,95.69460881678476,6,11,14
245,89.0,0.02247191011235955,46,0,73,26,140.8359375,70.1898541077273,17,8,22
246,229.0,0.2052401746724891,32,1,6,40,6845.1220703125,88.15465792032276,13,17,22
247,30.0,0.8,1,0,0,2,249.4248046875,73.78460598799582,3,7,0
248,1221.0,0.02375102375102375,332,1,73,71,4552.1123046875,94.01325320512477,32,16,0
249,383.0,0.08093994778067885,91,15,34,27,2372.8359375,54.25457571537223,10,17,8
250,183.0,0.02185792349726776,15,0,1,18,457.265625,68.29126089185033,4,12,4
251,473.0,0.27906976744186046,127,0,10,63,2136.8046875,95.28090277904728,15,15,1
252,266.0,0.0,63,0,187,31,249.7197265625,95.07377411394806,74,10,6
253,523.0,0.06500956022944551,30,0,8,110,1705.1357421875,93.65136000558974,33,15,0
254,56.0,0.0,1,1,0,2,18.3720703125,0.0,1,3,0
255,371.0,0.0,38,0,27,33,155.34375,89.9674361295514,17,8,0
256,297.0,0.0,54,1,52,34,2521.9521484375,99.22613117086334,17,9,15
257,29.0,0.0,19,0,42,8,331.896484375,96.91757242645545,19,5,5
258,237.0,0.0,102,2,59,15,737.568359375,98.530724111907,23,6,9
259,99.0,0.0,22,5,59,11,75.470703125,78.09062912450506,4,5,0
260,171.0,0.029239766081871343,153,1,75,17,894.5732421875,96.59229970645482,15,8,28
261,232.0,0.021551724137931036,196,0,77,10,1795.453125,98.60634284520795,17,4,11
262,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
263,0.0,0.0,32,0,6,56,1041.97265625,94.20663929970571,17,10,0
264,307.0,0.18892508143322476,89,4,38,20,352.943359375,94.21217772416121,14,12,15
265,11.0,0.18181818181818182,2,0,1,0,0.48046875,0.0,0,1,0
266,76.0,0.0,11,0,11,31,171.2607421875,80.95637249032052,6,11,3
267,3.0,1.0,0,0,0,0,0.4140625,0.0,0,2,0
268,567.0,0.10934744268077601,117,5,57,65,1712.556640625,88.06397826714216,22,11,16
269,387.0,0.07493540051679587,69,4,37,42,245.25390625,95.68049693398105,11,9,12
270,80.0,0.0,7,0,37,14,331.7548828125,98.35981125466196,6,5,1
271,8.0,0.0,0,0,0,0,0.2890625,0.0,0,2,0
272,637.0,0.03767660910518053,156,0,9,75,141.9443359375,92.41697683538469,10,9,8
273,395.0,0.0,47,2,91,54,1159.7060546875,92.7366595960217,59,12,4
274,0.0,0.0,0,0,0,0,115.671875,98.61036066459543,4,10,0
275,491.0,0.20570264765784113,358,0,81,74,368.0478515625,84.11647177756375,10,12,48
276,98.0,0.336734693877551,17,3,67,11,477.3544921875,83.36944135872557,26,5,2
277,354.0,0.1638418079096045,48,8,208,79,570.8955078125,97.7175729605181,36,13,5
278,475.0,0.0,67,2,81,78,765.3095703125,93.62939068008886,34,10,1
279,587.0,0.0068143100511073255,126,0,487,78,4381.8193359375,96.77079231189421,241,16,5
280,209.0,0.20574162679425836,165,1,11,48,319.638671875,67.5234487183404,7,8,3
281,147.0,0.10884353741496598,32,9,62,44,4253.9794921875,85.8330951602073,28,11,1
282,133.0,0.0,39,0,167,30,591.40625,92.32215984147952,48,10,0
283,170.0,0.0,30,2,134,31,176.078125,97.40992989617534,32,13,7
284,247.0,0.05668016194331984,77,4,27,19,6560.939453125,31.396201060907043,13,16,4
285,300.0,0.65,107,1,3,37,6630.8056640625,92.99920691551993,78,4,62
286,0.0,0.0,24,0,0,27,298.630859375,90.85442023819645,5,6,0
287,166.0,0.012048192771084338,11,0,0,49,0.0,0,7,8,0
288,389.0,0.13624678663239073,108,1,5,69,3003.18359375,97.33954202246314,32,12,16
289,26.0,1.0,1,0,0,0,1.419921875,0.0,1,3,0
290,26.0,1.0,1,0,0,0,1.419921875,0.0,1,3,0
291,247.0,0.08097165991902834,64,1,18,76,365.4931640625,74.06596929982766,29,15,0
292,522.0,0.040229885057471264,100,1,21,69,5160.6611328125,99.62083573579194,28,8,14
293,790.0,0.0620253164556962,1582,0,4,66,556.384765625,89.18695962003588,37,14,87
294,489.0,0.014314928425357873,275,1,505,148,9710.0224609375,99.64680903661176,216,8,30
295,376.0,0.03723404255319149,94,0,7,49,5170.1416015625,90.58795196652957,21,13,12
296,64.0,0.453125,63,0,34,23,140.1865234375,93.44344518672806,22,5,5
297,551.0,0.050816696914700546,58,2,14,31,895.4892578125,75.58095533059027,17,19,4
298,304.0,0.0,13,4,51,54,868.4619140625,96.84349014117767,9,6,0
299,204.0,0.0,41,0,3,43,4968.9990234375,96.28442363835931,26,19,3
300,85.0,0.07058823529411765,27,0,11,26,4957.2724609375,86.22738412847129,123,14,21
301,324.0,0.26851851851851855,231,1,252,60,1388.224609375,99.56744155290522,85,8,65
302,852.0,0.06690140845070422,205,2,144,138,686.0126953125,89.33502449190507,60,15,12
303,261.0,0.0,41,0,258,65,10449.0263671875,99.88972694170164,60,16,1
304,628.0,0.8853503184713376,109,7,33,35,3807.990234375,96.01249633916349,65,12,14
305,990.0,0.0,942,0,68,64,179.9072265625,95.22160401682724,244,7,7
306,538.0,0.09851301115241635,113,0,59,48,2149.2509765625,91.0062689899688,33,11,8
307,217.0,0.22119815668202766,60,0,0,73,1574.685546875,75.25280965073632,16,10,11
308,133.0,0.6466165413533834,21,1,6,21,817.123046875,77.5690960329089,12,17,20
309,65.0,0.0,2,0,19,1,28.2431640625,77.02361605753605,3,5,0
310,305.0,0.06229508196721312,43,0,3,58,1406.3740234375,84.95709058992713,11,17,7
311,63.0,0.38095238095238093,33,0,2,26,306.869140625,74.50816907145631,39,5,12
312,422.0,0.09004739336492891,83,1,2,51,727.1943359375,74.86460027368673,3,9,0
313,30.0,0.0,4,0,1,9,133.9013671875,44.57280385078219,1,1,0
314,0.0,0.0,0,0,9,31,744.107421875,91.39213560710058,39,12,0
315,28.0,0.0,51,0,2,1,44.4755859375,94.78075664756383,2,3,8
316,319.0,0.09404388714733543,89,2,126,51,195.5283203125,21.272993342356695,23,15,10
317,266.0,0.10526315789473684,88,4,139,37,439.7080078125,96.48603809790322,15,12,6
318,240.0,0.0,33,1,28,22,1053.416015625,98.50551312786341,17,11,1
319,466.0,0.045064377682403435,64,0,4,94,1249.1181640625,89.77950851264603,22,12,4
320,402.0,0.04975124378109453,60,2,32,51,893.580078125,93.33385062282383,22,14,0
321,58.0,0.22413793103448276,9,3,24,28,2776.8984375,95.6611538277586,22,18,4
322,11.0,1.2727272727272727,16,0,35,1,121.638671875,82.22514812376563,22,12,2
323,971.0,0.02265705458290422,138,2,11,33,11021.5576171875,96.45953088208256,16,12,25
324,187.0,0.22994652406417113,78,1,60,34,1008.3828125,76.1893463388935,25,13,0
325,381.0,0.13123359580052493,23,0,24,25,2123.2294921875,68.24137022252455,15,23,60
326,105.0,0.0761904761904762,80,0,0,15,927.4345703125,82.91574224512553,20,11,10
327,0.0,0.0,0,0,0,0,34.19140625,0.0,0,6,0
328,326.0,0.08588957055214724,14,0,1,39,998.71875,89.6695766450765,12,8,0
329,155.0,0.03225806451612903,17,0,0,29,596.8203125,89.10453182883248,6,9,0
330,1446.0,0.1459197786998617,227,1,30,45,2528.5830078125,91.65189093910288,9,9,58
331,725.0,0.01793103448275862,84,2,29,77,818.0703125,93.67270539474563,32,13,1
332,872.0,0.1743119266055046,57,1,4,14,1160.8203125,80.69850590571053,7,7,5
333,171.0,0.0,80,0,47,14,117.5068359375,87.65115061457529,7,5,4
334,267.0,0.0,35,1,507,32,465.0263671875,33.48264442330429,103,6,2
